Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
Sinbad of the Seven Seas,1989,PG-13,Adventure Fantasy ,,,,"Fantasy tale based on the tale of the legendary sailor. Here Sinbad must recover five magical stones to free the city of Basra from the evil spell cast by a wizard. His journey takes him to the isle of the Amazons where the queen tries to capture him, to a battle with ghost warriors on the isle of the dead, and ultimately to a battle with his own double.",rescue seduction hand to hand combat threatened with a knife doppelganger 88 more ,60
The Delinquents,1989,,Drama Romance ,,,,"A small town in Australia, in the late 1950s: Brownie and Lola are deeply in love. But because they are under-age, their parents are against their relationship and try to separate them.",juvenile delinquent bed female frontal nudity lust bare chested male 19 more ,60
Lady Chatterley Story,1989,NC-17,Drama ,,,,"An Italian film adaptation of D.H. Lawrence's classic erotic novel. After a crippling injury leaves her husband impotent, Lady Chatterly is torn between her love for her husband and her physical desires. With her husband's consent, she seeks out other means of fulfilling her needs.",based on novel outdoor sex fingering vagina anal fingering doggystyle sex 23 more ,60
River of Death,1989,R,Action Adventure Drama ,Non,"535,031",Non,An adventurer (Hamilton) decides to go in search of the lost city in the Amazon jungle. A motley crew of other people with reasons of their own decide to join him for the wealth of the lost city. But to their horror they find out that they have bit off more than they can chew. What with a nazi doctor still doing his experiments on people in the same place.,nazi jungle amazon river amazon rainforest nazi war criminal 124 more ,60
Food of the Gods II,1989,R,Sci-Fi Horror ,"3,500,000 (estimated)",Non,Non,"A growth hormone experiment gets out of hand, when the the resulting giant man-eating rats escape, reaking havoc on the unsuspecting campus. Much blood-letting follows.",cult film giant animal sequel psychotronic film water fountain 161 more ,60
Cheetah,1989,G,Adventure Drama Family ,"5,000,000 (estimated)","8,153,677","8,153,677","Ted and Susan, an American boy and girl spending six months in Kenya with their scientist parents, adopt a cheetah, only to realize that they must set her loose so that she can learn to hunt and be free. However, when she is captured by poachers planning to race her against greyhounds, Ted and Susan, together with Morogo, a young African goat herder they befriended, head off into the wild to rescue her.",cheetah girl boy poacher child protagonist 53 more ,60
The Misadventures of Mr. Wilt,1989,R,Comedy Crime ,Non,"113,014",Non,"Henry Wilt is a more or less failure of a teacher who fantasizes about murdering his dominant, non-attentive wife Eva. At a party Wilt is stuck to an inflatable doll and makes a complete fool of himself. Eventually, he dumps the doll in a hole at a building site. However, he has been witnessed getting rid of the doll and when his wife disappears on the night after the party, the police with inspector Flint strongly suspect Wilt of being guilty.",inflatable doll based on novel independent film ,60
Eat a Bowl of Tea,1989,PG-13,Comedy Drama Romance ,Non,"231,423",Non,"A study in culture bridging, including ... a new US-born husband, trying to work within the traditional ways, a new China-born wife, eager to join the ""dream"" of America, two family-minded fathers, lots of gender-related social bifurcations.",voice over narration begins with narration united states china relationship husband wife relationship mother son relationship 49 more ,60
Treasure Island Part II: Captain Flint's Treasure,1989,G,Animation Adventure Comedy Musical ,,,,"An unusual guest comes to the tavern ""Admiral Benbow"". Scars on his face betrayed him as a former pirate, who had to endure many storms and drunken fights. This is Billy Bons, a sailor who used to be in Captain Flint's team. He was very scared and always drank a lot of rum. He promised to pay Jim Hawkins - a boy working in a tavern, three pence in silver, but every month, if he suddenly noticed near the inn, "" - a sailor on one leg ..."".",cartoon reality crossover memory memory lapse reference to asthma reference to cirrhosis 34 more ,3540
Tennessee Waltz,1989,R,Thriller Drama ,,,,"An innocent fishing trip in the hills of Tennessee entangles Wolfgang Leighton in a murderous web of intrigue, sparked by a torrid encounter with the provocative Sally Lomas. Inexplicably pursued by faceless stalkers, Wolfgang turns to the law only to find himself arrested. Charged with murdering Sally, he's thrown into a cell seething with violent criminals. A teenage hitchhiker appears to be his only friend.",tennessee fishing hitchhiker female nudity based on novel 1 more ,60
The Wolves of Willoughby Chase,1989,Not Rated,Adventure Drama Family Fantasy ,,,,Willoughby Chase is the grand but remote home of Sir Willoughby and Lady Green and their daughter Bonnie.,victorian era evil governess wolf based on novel independent film ,60
Spider's Web,1989,,Drama ,,,,"Ulrich Mühe plays a German businessman who was born completely without scruples. This makes him an eminently suitable candidate for success in the chaotic years after World War I. The shameless man's story is contrasted with that of his polar opposite, a Jewish anarchist.",male nudity male frontal nudity male objectification male full frontal nudity bare chested male 49 more ,180
Street of No Return,1989,,Action Drama Crime Thriller ,,,,"A rock star-turned-bum, his vocal chords severed at the height of his career for the love of a woman, reclaims his forgotten past after viewing a music video and seeks revenge against the mobster who maimed him.",watching a silent movie watching tv love revenge music video 185 more ,60
Reunion,1989,PG-13,Drama History ,,,,"Two young boys from very different backgrounds become friends in 1933 Stuttgart. However, they don't realize how different they are until much later as one is the son of a well-to-do Jewish doctor and the other the son of a German aristocrat. After that summer and the election of Hitler, things change as anti-semitism gains fervor. After the core of the film deals with that era, the film flashes to the present and the Jewish man now returns to his boyhood home and seeks his old friend with some surprises.",anti semitism hitlerjugend friendship between boys nazi 1940s 9 more ,60
Time of Miracles,1989,,Drama ,,,,"September 1945. The village school was burned down in a fire and the new communist authorities get into the church, hanging the flag of the Communist Party and overpaint frescoes. But, frescoes each time miraculously returned.",male frontal nudity male nudity male rear nudity fire church 24 more ,60
I'm the King of the Castle,1989,,Drama Romance Thriller ,,,,"Thomas is the 12-year-old son of a millionaire who lives in a big mansion surrounded by woods in France. When his mother dies, his father hires a widowed maid to take care of everything while he is away. The woman brings her only son, Charles, to live with them and, hopefully, be company to lonesome Thomas. The rich boy and the poor one become enemies from the very first encounter. Moved essentially by jealousy and fear, Thomas decides to turn Charles' life into a hell on Earth, especially after their parents eventually fall in love. As the title suggests, he wants to make it clear to the invader who is the lord of the castle.",child in jeopardy child 10 year old widower father son relationship 28 more ,60
