Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
Torrents of Spring,1989,PG-13,Drama Romance ,Non,"111,747","111,747","In 1840, a young Russian aristocrat, Dimitri Sanin, is returning home after a long tour of Europe. In Germany, he falls in love with a beautiful pastry shop girl, Gemma Rosselli, who soon starts sharing his feelings. They decide to get married and, in order to finance the wedding, Dimitri goes back to Russia to sell his family estate. Unfortunately he falls prey to a seductress, Princess Maria Nikolaevna, who pretends to be willing to buy his land to come nearer him. Now Sanin is in a fix: should he choose the pure Gemma or the evil but irresistible Maria?",period drama prologue scene during opening credits horse horse riding 19 more ,60
Codename Coq Rouge,1989,,Thriller ,,,,His name is Carl Hamilton from a Swedish noble family - trained by the CIA and a army SEAL. When a group of terrorists based in Sweden threatens to initiate their diabolic plans - the Coq Rouge Carl Hamilton is activated.,murder of a policeman frame up carl hamilton character christmas sports car 59 more ,60
Killing Dad or How to Love Your Mother,1989,,Comedy ,,,,"A man, always very devoted to his mother, decides to look for his father whom he never met. He meets a seductive older woman prone to drinking and her aged boyfriend with whom she has grown tired.",vomiting or as title separator small town seaside mother son relationship 7 more ,60
The Kill Reflex,1989,R,Action Crime Thriller ,,,,"Williamson plays a cop called 'Soda Cracker', whose partner was killed in a mysterious assassination. He is convinced that the murder was committed by his old enemy, Ivan Moss, played by Bo Svenson. Despite threats from the mob and from the police department, he vows to continue his mission to find the persons responsible for the assassination. Maud Adams plays his new police woman partner, who falls in love with him during their investigations. 'Soda Cracker' also has to deal with the fact that many of the police officers on the squad may be corrupt, and tries to break down the criminal network whilst finding evidence against Ivan Moss.",female police officer deceased police officer female police officer police police officer killed 3 more ,60
Nightmare in Venice,1989,,Drama Romance ,,,,"During the Venice carnival, Riccardo Varchi, a successful cardiac surgeon, is oppressed by an inexplicable dissatisfaction, which only the application of a deviant, morbid and violent sexuality seems to alleviate his discomfort. Meetings with the prostitute Lù, with her longtime friend Alessandro and participation in a mysterious masked party will prove decisive.",large breasts bare breasts cheating husband transvestite masked party 3 more ,60
Comment faire l'amour avec un nègre sans se fatiguer,1989,,Comedy ,Non,"491,193",Non,"-A warm summer in Montreal (Canada). Two black men, Man and Bouba, share an apartment. Man is an ambitious author, writing on The Great Novel. Bouba is a lazy amateur philosopher who quotes the Koran. Man's habit of picking up young white women makes many young white men jealous.",author haitian canadian profanity in title suicide attempt long title 7 more ,60
Rikyu,1989,,Drama History ,,,,"Late in the 1500s, an aging tea master teaches the way of tea to a headstrong Shogun. Through force of will and courageous fighting, Hideyoshi becomes Japan's most powerful warlord, unifying the country. Rikyu, through the tea ceremony and floral arrangements, tempers his lord, helping Hideyoshi focus on a single flower or be in a simple room where the shape of a cup is of most importance. But other forces fuel Hideyoshi's ambitions: the Portuguese bring a globe and guns, and he believes he can conquer Korea and China. When Rikyu raises doubts about invading China, Hideyoshi demands an apology, and Rikyu himself must find courage in the way of tea.",warlord japan 1500s jidai geki japanese culture 5 more ,120
The Favorite,1989,R,Adventure ,,,,"At the dawn of the 19th century, a young French woman is kidnapped and forced into a sultan's harem in Turkey. Fiercely independent, she resists, but must make choices in order to survive. She begins to influence the sultan toward more fair manners of solving his conflicts, but finds herself at odds with another of his wives, who wants her son Mustafa to become the new sultan. As the years pass, she must deal with the new sultan's advances while protecting her adopted son Mahmud, and helping the Sultanate against the Russians who have modern weapons.",sultan son harem stockholm syndrome loss of innocence 11 more ,60
When the Whales Came,1989,PG,Drama ,Non,"73,131","73,131","A pair of children befriend an eccentric old man, who lives isolated on the far shore of their island home. But it turns out that the old man knows a terrible secret about the island and the narwhales who sometimes come. Meanwhile, World War I is making life hard in the village.",scene during opening credits island girl boy redemption 14 more ,60
Save and Protect,1989,Not Rated,Drama History ,,,,"Inspired by Flaubert's Madame Bovary, Sokurov's Save and Protect recalls the most crucial events of Emma's decline and fall, including affairs with an aristocratic and a student. Focusing on passion from a woman's perspective and downplaying plot, Sokurov explores his subject in exquisite detail, capturing not only the heat of passion but also the quiet moments before and after and the innocent sensuousness of the body. ( Original Title - Spasi i sokhrani)",underaged female nudity soviet union 1840s male full rear nudity cheating wife 26 more ,120
Beyond Innocence,1989,,Drama Romance ,,,,"The sensual story of innocence lost, desire found and an obsession that would change their lives forever... She was a married woman, tone apart from her husband. He was an innocent schoolboy on the verge of manhood. While the world was at war, they found comfort in each others arms and shared an impossible love that couldn't possibly continue... and an uncontrollable passion that they could not resist.",male frontal nudity male nudity male rear nudity male female relationship teenager 11 more ,60
Forever Mary,1989,,Drama Crime ,,,,"A teacher discovers his calling. Marco relocates to Palermo from Milan and takes a job teaching in a reform school while he waits for a high school position. He tries to understand and motivate his handful of students, reading them colloquial poetry, encouraging them to stand up for their rights, finding out about their histories. Natale, in for murder, enamored of the Mafia, the King Rat within the group; Mery, a drag queen, arrested for assault when defending himself, in love with Mario and, in daylight, rejected by all; Pietro, illiterate, muscular, believing his destiny is set; the callow Claudio, vulnerable, learning to harden himself. What can Mario learn and do in such a short time?",masturbation male prostitute sexual assault reformatory juvenile detention 18 more ,60
Anak ng demonyo,1989,,Drama Fantasy Horror ,,,,,pallor son defies father father son relationship dangling off a cliff bmx 39 more ,
Babangon ako't dudurugin kita,1989,,Action Drama Thriller ,,,,"Salve, a content barrio lass, is married to Alfred, an aspiring politician. Alfred meets Via and finds out that they can both be very useful to each other's lives; he is set on pursuing a political career and Via is from a powerful political family that wants to continue to govern the land. Together, Albert and Via plan a scheme to get rid of Salve, but she survives--and takes revenge.",revenge politician aspiring politician beach cemetery 30 more ,
Kronvittnet,1989,,Crime Drama Thriller ,,,,"Thomas, a scientist, lives in a childless marriage. When his wife travels to Copenhagen he begins an affair with a girl of 19. The girl and large amounts of drugs disappears from Thomas laboratory.",murder investigation rat detective inspector rain drug theft 8 more ,60
Caddie Woodlawn,1989,,Adventure Family ,,,,The exciting adventures of an 11-year-old tomboy growing up in the Wisconsin frontier of the 1860s. Based on the children's book.,owner dog relationship husband wife relationship horseback riding horse rider knocked off a horse by a tree limb 47 more ,60
Uncle Cyril,1989,,Drama Fantasy Horror Thriller ,,,,"Sonya is the inheritor to the riches of a Czech noble family - the Hajns. Petr, a social climber marries her, ignoring the shady goings-on, especially an insane uncle who prowls the mansion thinking he is invisible, a peccadilo the family seems to bear with and entertain. The mad uncle stalking every corner of the house, popping out of cupboards and curtains slowly takes its toll on the young bride.",strait jacket psychotronic film central europe literature on screen czech literature on screen 159 more ,60
Death of a Tea Master,1989,,Drama History ,,,,"Years after the death of legendary tea master Rikyu, his disciple Honkakubo attempts to resolve the mystery of the master's death. Years before: Sen Rikyu is a ceremonial tea master who advises warlord Hideyoshi in sixteenth-century feudal Japan. His daughter, the beautiful Lady Ogin, has an unrequited love for Lord Ukon, who has angered Hideyoshi by becoming a Christian convert. Ogin's father Rikyu also displeases Hideyoshi by opposing the warlord's plan to invade China and Korea. When the animalistic Hideyoshi is rejected by Ogin, he threatens her and her father with arrest and worse.",16th century tea ceremony suicide jidai geki based on novel 1 more ,60
Shadow of China,1989,PG-13,Drama ,Non,"55,166","55,166","During Mao Zedong's Cultural Revolution, idealistic anticommunist Henry Wong fled mainland China as a political refugee with his then girlfriend, Moo-Ling. He built himself a new life in Hong Kong and eventually became a slick rich banker with political ambitions. At present, he's having an affair with Katharine, a married Englishwoman, and wants to take over the influential local Chinese-language newspaper in order to try to influence political changes in China. Moo-Ling also lives in Hong Kong, where she works as a nightclub singer. Japanese journalist, Akira, befriends her in order to find out more about Henry's past. Hong Kong is about to become part of China again soon, student demonstrations are erupting in Beijing and Akira is getting closer to the shady truth behind Henry's initial financial success. The future seems uncertain for everyone.",hong kong nightclub singer cultural revolution journalist take over 15 more ,120
Migrations,1989,,Drama History Romance ,,,,"Based on the famous novel of Milos Crnjanski, the story follows Serbian migrations from the Austro-Hungarian Empire during the XVIII century.",epic based on novel ,120
Try This One for Size,1989,,Comedy Crime ,,,,An insurance investigator is looking for a stolen priceless medieval Russian icon.,artifact insurance investigator stolen artifact russian icon based on novel 1 more ,60
Kitchen,1989,,Drama Romance ,,,,"The story centers around Mikage, a young woman who loses her parents when young. She grows up in a lonely household with her grandmother who dies when Mikage reaches adulthood. Grief-stricken, she finds solace in the kitchen. Yuichi, a friend of Mikage's deceased grandmother, invites her to live with him and his mother. Then Mikage discovers that Yuichi's mother is actually his cross-dressing father. On the other hand, Mikage realizes that the wealth of gadgetry in Yuichi's kitchen is lovingly detailed...",based on novel ,60
"Papa est parti, maman aussi",1989,,Comedy Drama ,,,,"A coming-of-age film: When Laurette's parents disappear following a row, Laurette assumes responsibility for the family. The initial fiesta of children alone gives way to abandonment and the pressures of responsibility.",coming of age f rated divorce teenager topless female nudity 5 more ,60
Rituals,1989,,Drama ,,,,"In a crash on the stock exchange Inni Wintrop (40) loses his fortune and his girlfriend, on the same day. Adrift and looking for something to hold on to he becomes obsessed with Japanese rituals of faith, death and eroticism.",based on novel ,60
Sigurd the Dragonkiller,1989,PG,Action Adventure Drama Family ,,,,"Jarle son Sigurd growing up in Viking Norway, a time when conflicts are resolved with weapons. He is named after a great legend and local hero, Sigurd Fåvnesbane that in his time had killed the dragon Fafnir. It is expected that Sigurd should grow up and become a strong and barbaric viking, as the rest of his family. Illungene are sworn enemies of Sigurds family. It is expected of the young Sigurd to the advancement of blood revenge that flared up when Illungene killed his brother.",viking revenge hero blond boy brother brother relationship 49 more ,60
Georg Elser - Einer aus Deutschland,1989,,Drama History Thriller ,,,,"A true story about Johann Georg Elser, a quiet carpenter who tried to assassinate Hitler with an explosive device in 1939.",based on real person 20th century nazi germany anti nazi near miss 10 more ,60
Dark Heritage,1989,,Horror ,,,,"An uncredited adaptation of H.P. Lovecraft's ""The Lurking Fear."" After a violent thunderstorm, mutilated bodies are found at a Louisiana campground. Investigative reporter Clint Harrison uncovers a dark local legend about the reclusive Dansen clan, who may be connected with the murders. Determined to dig up the truth, Clint and his buddies decide to spend a stormy night at the seemingly abandoned Dansen mansion...",two word title based on the works of h.p. lovecraft legend massacre night 19 more ,60
The Rose Garden,1989,PG-13,Drama War ,,,,"In Germany, an old man attacks another old man and is arrested. The attacker refuses to speak. A female lawyer is appointed to him. She discovers that the attacker has numbers tattooed on his arm and the attacked man was a German officer.",murder child murderer declared unfit missing sister prosecutor 6 more ,60
Loos,1989,,Crime Mystery Thriller ,,,,A lawyer must defend a nightclub owner accused of committing a crime-of-passion.,male frontal nudity one word title nightclub male objectification bare chested male 47 more ,60
Margarit i Margarita,1989,,Drama ,,,,"Margarit and Margarita are high school senior students. They are madly in love. And so proud and independent that they are often in trouble with their parents and teachers. They quit school to live life their own way, only to face a world or corruption and brutality. Margarit would make no compromise and would not get involved in a game with shady rules. Margarita is more willing to do so in the name of their future together. A big manager takes her under his wing and shows himself to be a corrupt womanizer. Margarit cannot stand the debauchery of their 'protector' and kills him. After his sentence he puts an end to his life and unable to live her life this way, so does Margarita.",based on novel character name in title ,60
Boerenpsalm,1989,,Drama ,,,,"This Flemish heimat-movie after a novel by Felix Timmermans, the title of which translates as ""farmers psalm"", is about the at first sight idyllic, but actually tragical life of Wortel, a god-fearing peasant in a pre-war Belgian village, who has a hard time accepting the curate's assurance it's all part of God's grand plan when his loved ones keep coming to terrible harm, and searching solace in the hand-carving of a wooden statue of Christ.",farmer wood carving unplanned pregnancy mourning male nudity 3 more ,60
Dirty Games,1989,,Action Adventure Thriller ,,,,The beautiful daughter of a murdered scientist determines to apprehend her father's brutal killer at a nuclear waste site they're both inspecting as part of a team of international delegates. But the visiting scientists soon realize that ruthless terrorists intend to blow up the complex.,zaxploitation boxer shorts paris france south africa nuclear 6 more ,60
Nocturne indien,1989,Not Rated,Drama ,,,,A young Frenchman (Jean-Hugues Anglade) finds adventure in India while searching for a lost friend who disappeared. During his search he will find strange people but he will discover too a new fascinating country.,based on novel ,60
S/Y Joy,1989,,Drama ,,,,"A few friends builds a sailing boat together. They plan trips and during the completion of the boat marriages crumble, new relations blossom and the boat burns. They rebuild it and the families involved continue to rock on the stormy sea of emotion.",sailing boat death wave high sea strained relationship 5 more ,60
The Feud,1989,R,Comedy ,Non,"3,102","3,102","When Dolf Beeler enters Bud Bullard's hardware store with his cigar lit and ignores the no-smoking store policy, this small faux pas turns into an escalating fiery feud. However, not all members of the two families hate each other.",family relationships small town feud black comedy 1950s 2 more ,60
Innocent Victim,1989,R,Drama ,,,,A woman is attempting to cope with her son's tragic death when her mother arrives on an ill-timed visit with her own remedies.,mental instability saleswoman cosmetics child abuse author 5 more ,60
Kokak,1989,,Drama Fantasy Romance ,,,,,turned into a frog snake quicksand curse frog 8 more ,
The Kill-Off,1989,,Drama ,,,,Business at The Pavilion bar is down so Pete and Rags decide that the best way to get The Pavilion off the skids is to turn it into a strip joint.,neo noir title directed by female f rated stripper new jersey 6 more ,60
Memories of a Marriage,1989,,Drama ,,,,"Karl Åge and Regitze host a summer garden party for close friends, their son, and his family. Karl Åge is quiet, detached; Regitze is spirited, lively. He thinks back: love at first sight during the war, living together unmarried, her mother's hunger strike when they won't baptize their son. Regitze is passionate and forthright; she speaks her mind. He remembers her inviting a derelict for Christmas dinner, and the man shows up with five bashful friends. He recalls her taking on their son's teacher when the man slaps the lad. He remembers her love of dancing and his fear that his social clumsiness might end their relationship. Now, in twilight, he has other things to face.",based on novel ,60
Evenings,1989,,Biography Drama ,,,,Frits van Egters' life in the last ten days of the year 1946.,masturbation mirror coming of age gay interest male rear nudity 8 more ,120
Konec starych casu,1989,,Comedy ,,,,"Czechoslovakia 1918. The newly formed National Assembly has made Stoklasa the administrator of the Kratochvile Castle. Although with no aristocratic background, he is a man of fortune and is trying to buy the castle. To impress his neighbors and the local politicians he invites them to a great hunting party. Uninvited comes a man who claims to be Duke Alexej. Stoklasa believes him to be a hustler. This hustler, however, manages to charm all the women before he leaves.",central europe literature on screen european literature on screen czech literature on screen 20th century literature on screen 18 more ,60
Vadon,1989,,Drama History ,,,,,one word title 1850s based on novel ,120
Fancy Dance,1989,,Comedy Drama ,,,,"Yohei, a punk rocker, has to become a Buddhist monk in order to inherit a mountain temple. Yohei though initially rebelling against the tough monastic discipline learns to adjust. Then his girlfriend shows up, enticing him to return to his rock 'n' roll roots.",buddhist monk zen buddhism buddhist nun buddhism zen 2 more ,60
Svetlaya lichnost,1989,,Comedy Musical ,,,,,based on novel ,60
Tokyo: The Last War,1989,,Fantasy Horror Sci-Fi Thriller ,,,,"The year is 1945. After the horrific fire-bombings of the Pacific War levels Japan to the ground, the government decides to consult spiritual psychics to aid them in winning the war. Unfortunately, the resentment and agony of the souls of the fire-bombing victims culminate together to revive the evil Onmyoji, Yasunori Kato. Only a young, psychically imbued apprentice of the priests will dare fight against the evil magic user. However, can this lone man possibly contend with Kato's overwhelming power?",violence katana sword based on novel ,60
L'orchestre rouge,1989,,Adventure Drama History Thriller War ,,,,The Red Orchestra which was implanted right into the very heart of the nazi empire was considered the most important espionage net of World War II.,nazi color in title gestapo spy world war two 1 more ,120
Rudranetra,1989,,Action Crime Thriller ,,,,"When the Indian Secret Service find out that Sarva Bushan Rao, in collusion with international underworld don, Q, are using live human specimens to conduct experiments, they assign Agent Nethra to this case. Nethra is on the verge of apprehending both arch-criminals, but gets killed in the process. Indian authorities then re-assign this case to Agent Pratima, who accepts it, and sets about to seek the duo. She comes across a man named Yaadgiri, who resembles Nethra, she meets him, asks him to act like Amitabh Bachchan did in 'Don', to which he agrees. He gets training and proper etiquette and is shown the profile of the two gangsters. His first job is to woo and seduce Swarnalekha and Hanslekha, Rao's daughters. He starts with Swarnalekha, but she turns out to be Hanslekha. Before Yaadgiri could correct this error, Rao finds out and has Hanslekha killed. The question remains how can anyone combat a person who is ruthless enough to do away with his own daughter, and little do they know that Rao himself is merely a pawn in the hands of Kuala Lumpur-based underworld don, known only as Black Eagle - who is even more ruthless and cunning than Rao and Q put together - and is on the verge of launching a missile that is capable of killing thousands of people.",underwater scene malaysia impersonation fight rescue 9 more ,120
Buon Natale... Buon anno,1989,,Comedy Drama Romance ,,,,"Gino and Elvira have been married for 40 years, but lack of money has forced them to part, and each lives with one of their daughters. They suffer from the separation although they often phone each other and secretly meet in hotel rooms. When vacation time comes, Elvira leaves Rome with her daughter and grandchildren. Alone in the city, Gino burglarizes his son-in-law's apartment to get money to join his wife.",based on novel ,60
Venus Peter,1989,PG-13,Drama ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">£1,200,000 (estimated)</span></li></ul></div></li",Non,Non,"Peter, a young boy living in the fishing village of St Monans, Scotland during 1940s, learns about life and the beauty of imagination from his grandfather and female teacher in this touching semi-autobiographical story about childhood.",child's imagination fishing village st monans scotland grandfather grandson relationship semi autobiographical 30 more ,60
Gu-Ga,1989,,Drama War ,,,,"About battalions of penalized persons of times of World War II, month of service in which was equated by ten years of prison.",based on novel ,120
The Belt,1989,,Drama ,,,,James Russo stars as an American teacher in Rome who falls for the beautiful Bianca and enters into a torrid affair made even more frenzied when she buys him an expensive leather belt... she wants to be whipped... Based on the novel by Alberto Moravia.,f rated based on novel ,60
Rouge Venise,1989,,Musical Drama ,,,,"Venice. March 1735. The carnival in full swing, everyone is in a happy mood and the busy streets are filled with musicians, mimes, acrobats clowns and pickpockets who each practice their craft, deploying a rainbow of colors and sounds.",based on novel ,120
Comédie d'été,1989,,Drama Romance ,,,,"After failing his officer exams, the son of a colonel comes home for the summer and falls for an attractive houseguest.",female nudity based on novel ,60
Señoritas a disgusto,1989,,Drama Romance ,,,,"Two provincial spinsters host Luis, a young man who comes to work at the bank, and flirts with Maria, who believes it is the opportunity to get married, but in reality he is an adventurer who at the bank learned that she is the second single more fortune. The first is the daughter of her employer, but she is engaged.",spinster sister melodrama gigolo younger man older woman small town 5 more ,60
Buddies,1989,,Drama Romance ,,,,The film tells story of a close friendship undone by love.,love triangle male bonding based on tv series based on novel ,60
Stormy Summer,1989,,Drama ,,,,"Every year, the whole gather in the French region of Auvergne's home. During this 1944 summer, Louis falls in love with his cousin Laurence. The arrival of a British skydiver, Jack, will completely upset Laurence. Louis, jealous like crazy, will betray the skydiver who will die in front of his eyes. But his cousin François-Xavier has also seen what happened.",f rated based on novel ,60
Powrót wabiszczura,1989,,Drama ,,,,"The protagonist drives a Volkswagen up a mountain road, carrying his twelve-year-old daughter. After an accident in which his daughter is killed, he ends up in a town in a desert mountain area dominated by punk youth. The mayor tries to win over the newcomers, calls for compliance with the applicable laws and customs, although at the same time he announces that the authority he represents is not interested in or the customs of the newcomers. Soon a series of crimes takes place, and the punks are under suspicion. All attempts to throw them out of the city are ineffective, and what is worse, communication with the outside world has been disabled. Finally, during the city council, it is suggested that only Plowy could lead the punks out of the city.",based on novel ,60
Beim nächsten Mann wird alles anders,1989,,Comedy ,,,,,female nudity heterosexuality claim in title based on novel ,60
La salle de bain,1989,,Comedy Drama ,,,,,hit with a dart deadpan surrealism philosophy reconciliation 22 more ,60
Dgesastsauli dgesastsaulis molodinshi,1989,,Drama ,,,,,f rated skinny dipping boy rear nudity based on novel ,180
Under the Glacier,1989,,Comedy Fantasy ,,,,"A hapless guy from the city visits an isolated Icelandic seaside settlement. He gradually realizes that the seals are not what they seem, and that two of the inhabitants are magicians, vieing for the favour of a mysterious woman. Liberated from a spell, she proves to be a magician too. Then he falls in love....",iceland magic shamanic shapeshifting duel 1 more ,60
Bille en tête,1989,,Drama Romance ,,,,"Virgil is a young man of 16, without complex, ready to devour the life. He is at the turning point when we go from adolescence to adulthood, where he must face the future, love. It does not happen without clashes (with his father in particular), without tenderness (with the Arquebus, the grandmother) and without trouble, facing Clara, a young woman older than him with whom he falls in love. But Virgil's goal is above all to go through life so as to never regret anything.",based on novel ,60
Novye priklyucheniya yanki pri dvore korolya Artura,1989,,Adventure Fantasy ,,,,"The plane of the American pilot has got lost in time. The pilot has got to an era of the nice king Artur. Here he is fated to meet legendary knights of the Round table and artful to Morgan - the king's sister, beautiful Sandie and the wise Wizard. He should appear in tatters of the slave and in knightly armor, to become the witness of greatness and death of the kingdom.",foreign language adaptation king arthur based on novel character name in title ,120
The Long Haul,1989,,Drama ,,,,"After an argument with an ex-girlfriend, a trucker leaves for one more trip. He had been asked to risk his life to deliver a cargo under almost impossible weather and time conditions by his boss and friend, and begins to question their friendship.",based on novel ,60
Der Geschichtenerzähler,1989,,Thriller ,,,,"The marriage of young, ambitious writer Nico Thomkins with Helen, coming from a rich family, is nothing more than a hardly concealed love-hate relationship. Because of Nico's aggressiveness Helen flees to the island Sylt and gets into a liaison with a lawyer, boyfriend of her new neighbor Clara. Left alone Nico starts to write again but then fantasy and reality get mixed continuously. Suddenly Nico realizes that since Helen's flight he and the house are watched by Clara. The papers start speculating about Helen's disappearance, finally about her supposed death. Meanwhile Nico, because of his aimless, hostile attitude, gets more and more under suspicion of having murdered his wife, but when he tries to discover Helen's hideaway on his own something horrible happens.",foreign language adaptation based on novel ,60
Kuarup,1989,,Drama ,,,,"From contemplation to awakening, from revolt to sacrifice, the inner journey of a young Jesuit priest, Nando, into the depths of the jungle, into the depths of himself. Amongst the Xingu Indians, in the heart of Brazil, in the very place where the quests take form, he will begin to understand the destiny of his ""Kuarup"". For God, for a woman or for justice, these are always the same words for all loves. A passionate fresco on a Brazil large as life.",brazilian military dictatorship based on novel ,60
Haru kuru oni,1989,,Drama Romance ,,,,"Island villagers find a young woman and young man swept ashore near their remote village in northeastern Japan. The two have tried to escape the girl's enforced marriage to another man, in order that they may marry themselves. The ancient custom of the village decrees that the angry sea gods must be calmed by throwing the pair back into the sea. The lovers face being sacrificed to the sea gods or perhaps something even more difficult to bear.",based on novel ,120
