Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
"Stand Up, Virgin Soldiers",1977,,Comedy War ,,,,"Two soldiers stationed in Singapore set off in pursuit of the fairer sex instead of carrying out their orders. Soon after their arrival on the exotic island, the two visit a local brothel and there encounter a pair of lusty nurses.",male male relationship british sex comedy clothed male naked female scene hairy chested man male wears underwear 111 more ,60
Crossed Swords,1977,PG,Adventure Comedy Drama Family ,"8,000,000 (estimated)",Non,Non,"Tom Canty (Mark Lester) is a poor English boy who bears a remarkable resemblance to Edward, Prince of Wales (Mark Lester) and son of King Henry VIII (Charlton Heston). The two boys meet and decide to play a joke on the court by dressing in each other's clothes, but the plan goes awry when they are separated and each must live the other's life.",slapstick comedy period drama boy prince king 32 more ,60
L'homme pressé,1977,,Drama ,,,,"Pierre Nioux is a charming wealthy self-made dealer of arts and antiques, who lives in a hurry without spending time. When he buys a disputed house in the country, the daughter of the former owner, Edwige, meets his in a judicial contest and ends getting married with him. Pierre has a serious beginning of a heart attack, but he is disputing an expensive and rare Etruscan vase and does not pay much attention to his doctor. Meanwhile, Edwige gets pregnant and although loving him, she leaves home and hides herself from Pierre, who wants to anticipate her delivery in order to not waste nine months. Will he get the vase?",female nudity full frontal female nudity paris france contest antique dealer 28 more ,60
A Dog Called... Vengeance,1977,,Adventure Drama ,,,,A political prisoner in a South American dictatorship escapes and is pursued throughout the country by a bloodthirsty dog.,male nudity male rear nudity naked in public public nudity male objectification 11 more ,60
Madame Rosa,1977,PG,Drama ,,,,"Madame Rosa lives in a sixth-floor walkup in the Pigalle. She's a retired prostitute, Jewish and an Auschwitz survivor, a foster mom to other prostitutes' children. Momo is the oldest and her favorite, an Algerian lad whom she raises as a Muslim. When he asks about his parents, she evades. As she ages and takes in fewer children, Momo must do more for her; as money is tight, he tries to earn pennies on the street with a puppet. He's a beautiful man-child and Madame Rosa makes him promise that he will never sell himself or become a pimp. Nadine, a film editor, befriends him, and his father suddenly appears. Madame Rosa reaches her last days in fear of hospitals, and Momo must act.",france reference to auschwitz concentration canp children prostitute pigalle 14 more ,60
The Consequence,1977,Not Rated,Drama ,,,,"Thomas is the son of a prison warden. He falls for and seduces Martin, who is older and one of the prison inmates. After Martin is released, They try to build a relationship and a life together but, no one will let them alone.",gay slur gay discrimination escape plan homophobic father homosexuality 78 more ,60
Sheffey,1977,Not Rated,Biography Drama Romance ,,,,"A dramatization of the life and works of 19th-century Christian evangelist, preacher, and circuit rider Robert Sayers Sheffey (1820-1902) who ministered to the mountain folk of the central Appalachian region.",reference to robert sayers sheffey circuit riding preacher 19th century preacher christian 18 more ,120
The Chaos Class Is Waking Up,1977,,Adventure Comedy ,,,,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,fenerbahce student prank turkish military inspector 54 more ,60
Alice or The Last Escapade,1977,,Drama Fantasy Mystery Thriller ,,,,"Alice Carol leaves her husband one rainy night, telling him that she does not love him anymore. She travels alone but when her windscreen breaks on a lonely road, she has to stop and seek help. She goes to a creepy manor and is welcomed by the owner, Henri Vergennes, and his butler, Colas. Alice is invited to spend the night in the house. The next morning, Alice can't find the two men from he previous night but finds her car surprisingly fixed. She tries to leave but cannot find the gate. She stops the car and walks around the wall trying to find an exit but becomes increasingly worried with what she finds.",supernatural power psychotronic film wall butler rainy night 37 more ,60
Nasty Habits,1977,PG,Comedy ,,,,"The Watergate scandal is used as the basis to tell the story of corruption within a Philadelphia convent. The Abbey of Philadelphia is a wealthy, little known order of nuns loosely associated to the Catholic church. Its Mother Abbess, Sister Hildegarde, is on her deathbed. She admits to Alexandra (the ",prologue scene during opening credits candle monsignor aerial camera shot 15 more ,60
