SearchTerm,Link1,AdaptationOf,Link2
A River Runs through It [1992 film],/work/1012032,A River Runs through It [1992 film],/work/1012032
Scent of a Woman [1992 film],/work/945793,Scent of a Woman,/work/598193
Patriot Games [1992 film],/work/1018026,Patriot Games,/work/829005
Single White Female [1992 film],/work/10310627,Single White Female,/work/615779
Bitter Moon [1992 film],/work/7715770,Bitter Moon [1992 film],/work/7715770
The Player [1992 film],/work/612768,The Player,/work/123035
Chaplin [1992 film],/work/13289751,Chaplin [1992 film],/work/13289751
The Power of One,/work/71039,,
Memoirs of an Invisible Man [1992 film],/work/9715369,Memoirs of an Invisible Man,/work/137801
The Muppet Christmas Carol [1992 film],/work/997479,The Muppet Christmas Carol [1992 film],/work/997479
Orlando [1992 film],/work/9445660,Orlando: A Biography,/work/5379
Freejack [1992 film],/work/865332,Freejack [1992 film],/work/865332
Like Water for Chocolate [1992 film],/work/10808152,Like Water for Chocolate,/work/3238818
South Central [1992 film],/work/15864747,Crips: The Story of the L A Street Gang from 1971-1985,/work/2796936
Diggstown [1992 film],/work/17028494,Diggstown [1992 film],/work/17028494
A Midnight Clear [1992 film],/work/4094794,A Midnight Clear,/work/240276
The Mambo Kings [1992 film],/work/15914282,The Mambo Kings Play Songs of Love,/work/83428
City of Joy [1992 film],/work/21022726,The City of Joy,/work/25872
Waterland [1992 film],/work/9293777,Waterland,/work/18372
Night and the City [1992 film],/work/13616712,Night and the City [1950 film],/work/4220836
Rich in Love [1992 film],/work/13958714,Rich In Love,/work/85746
The Silence of the Lambs [1991 film],/work/93196,The Silence of the Lambs,/work/6052
Hook [1991 film],/work/799400,Hook [1991 film],/work/799400
Cape Fear [1991 film],/work/2669307,Cape Fear,/work/143921
Fried Green Tomatoes [1991 film],/work/758735,Fried Green Tomatoes at the Whistle Stop Cafe,/work/20034
Sleeping with the Enemy [1991 film],/work/15674109,Sleeping with the Enemy,/work/53496
The Rocketeer [1991 film],/work/7177535,The Rocketeer [1991 film],/work/7177535
Return to the Blue Lagoon [1991 film],/work/12842254,The Blue Lagoon / Return to the Blue Lagoon (Double Feature),/work/16702663
Naked Lunch [1991 film],/work/3914309,Naked Lunch,/work/5852
The Commitments [1991 film],/work/806110,The Commitments,/work/3186582
Doc Hollywood [1991 film],/work/9257804,Doc Hollywood [1991 film],/work/9257804
Toy Soldiers [1991 film],/work/11525,Toy Soldiers,/work/472806
Rush [1991 film],/work/17036673,Rush,/work/444613
The Prince of Tides [1991 film],/work/10492200,The Prince of Tides,/work/3031
Shattered [1991 film],/work/26300323,Shattered,/work/429487
White Fang [1991 film],/work/2348042,White Fang,/work/4784
Dying Young [1991 film],/work/18040320,Dying Young [1991 film],/work/18040320
Black Robe [1991 film],/work/1593570,Black Robe,/work/46354
King Ralph [film],/work/3980463,Headlong,/work/2024524
Flight of the Intruder [1991 film],/work/4342916,Flight of the Intruder,/work/229520
Rambling Rose [1991 film],/work/12692889,Rambling Rose,/work/146757
Beastmaster 2: Through the Portal of Time,/work/16805345,,
Body Parts [1991 Film],/work/22063422,Body Parts,/work/2295527
A Kiss Before Dying [1991 film],/work/15925041,A Kiss before Dying,/work/166041
Poison [1991 film],/work/2750870,Poison,/work/6601019
At Play in The Fields of the Lord [1991 film],/work/14930124,At Play in the Fields of the Lord,/work/91254
A Rage in Harlem [1991 film],/work/22883375,A Rage in Harlem,/work/440982
GoodFellas [1990 film],/work/8230084,Wiseguy,/work/4005881
Misery [1990 film],/work/6275094,Misery,/work/2724
The Hunt for Red October [1990 film],/work/435513,The Hunt for Red October,/work/828677
Dances with Wolves [1990 film],/work/942202,Dances with Wolves,/work/53434
Awakenings [1990 film],/work/1338930,Awakenings,/work/5689
Die Hard 2: Die Harder [1990 film],/work/2208938,58 Minutes,/work/1499550
Wild At Heart [1990 film],/work/945870,Wild at Heart,/work/67730
Cabal,/work/32144,,
Presumed Innocent [1990 film],/work/758788,Presumed Innocent,/work/32042
Miller's Crossing [1990 film],/work/318006,Miller's Crossing [1990 film],/work/318006
The Hot Spot [1990 film],/work/780289,Land of the Giants #2: The Hot Spot,/work/398745
The Bonfire of the Vanities [1990 film],/work/17589503,The Bonfire of the Vanities,/work/10138
Revenge: Short Stories by Women Writers,/work/5401,,
Mermaids [1990 film],/work/5141861,Mermaids [1990 film],/work/5141861
The Neverending Story II - The Next Chapter [1990 film],/work/8043218,The Neverending Story II - The Next Chapter [1990 film],/work/8043218
Quick Change [1990 film],/work/15929638,Quick Change,/work/759590
The Russia House [1990 film],/work/8670528,The Russia House,/work/4818
The Boyfriend School [1990 film],/work/23112711,The Boyfriend School,/work/313078
The Sheltering Sky [1990 film],/work/6538166,The Sheltering Sky,/work/70629
A Shock to the System,/work/269453,,
Roger Corman's Frankenstein Unbound [1990 film],/work/18339865,Frankenstein Unbound,/work/215622
Desperate Hours [1990 film],/work/10595269,The Desperate Hours,/work/959525
