SearchTerm,Link1,AdaptationOf,Link2
The Man Who Fell to Earth [1976 film],/work/1349362,The Man Who Fell to Earth,/work/27188
The Last Tycoon [1976 film],/work/6149715,The Last Tycoon,/work/4055967
Jaws [1975 film],/work/126763,Jaws,/work/24251
One Flew Over the Cuckoo's Nest [1975 film],/work/17914767,One Flew over the Cuckoo's Nest,/work/2122
Barry Lyndon [1975 film],/work/820607,Barry Lyndon,/work/113803
Picnic at Hanging Rock [1975 film],/work/880540,Picnic at Hanging Rock,/work/69475
The Eiger Sanction [1975 film],/work/10706612,The Eiger Sanction,/work/4807
3 Days of the Condor [1975 film],/work/4115051,Six Days of the Condor,/work/429502
The Man Who Would Be King [1975 film],/work/823402,The Man Who Would Be King [short story],/work/8387386
Hustle [1975 film],/work/8593230,"Hustle, Hustle",/work/9784168
Young Frankenstein [1974 film],/work/690192,Young Frankenstein [1974 film],/work/690192
The Godfather Part II [1974 film],/work/646742,The Godfather,/work/4808
The Man with the Golden Gun [1974 film],/work/2211207,The Man with the Golden Gun,/work/108681
Death Wish [1974 film],/work/6230965,Death Wish [2018 film],/work/21919175
The Great Gatsby (Original Japanese film program for the 1974 film),/work/24111857,The Great Gatsby,/work/2964
The Towering Inferno [1974 film],/work/779143,The Tower,/work/53549
The Exorcist [1973 film],/work/883166,The Exorcist,/work/38484
The Wicker Man [1973 film],/work/9652813,The Wicker Man [1973 film],/work/9652813
Live and Let Die [1973 film],/work/2211204,Live and Let Die,/work/43311
Soylent Green [1973 film],/work/2943155,Make Room! Make Room!,/work/48796
The Long Goodbye [1973 film],/work/3293125,The Long Goodbye,/work/15087
The Day of the Dolphin [1973 film],/work/18756187,Dolphin's First Day: The Story of a Bottlenose Dolphin,/work/1155053
The Godfather [1972 film],/work/643664,The Godfather,/work/4808
The Getaway [1972 film],/work/8867056,The Getaway [1972 film],/work/8867056
Deliverance [1972 film],/work/126702,Deliverance,/work/69712
The Poseidon Adventure [1972 film],/work/3364491,The Poseidon Adventure,/work/619306
Frenzy [1972 film],/work/815789,Frenzy [1972 film],/work/815789
A Clockwork Orange [1971 film],/work/35519,A Clockwork Orange,/work/1473
Willy Wonka & the Chocolate Factory [1971 film],/work/1428423,Charlie and the Chocolate Factory,/work/1588
Diamonds Are Forever [1971 film],/work/2211141,Diamonds Are Forever,/work/43275
The Last Picture Show [1971 film],/work/5852057,The Last Picture Show,/work/72810
The French Connection [1971 film],/work/6194434,The French Connection [1971 film],/work/6194434
Wake in Fright [1971 film],/work/14890650,Wake in Fright,/work/581375
Johnny Got His Gun [1971 film],/work/15830359,Johnny Got His Gun,/work/8442
MASH: A Novel About Three Army Doctors,/work/39891,,
Love Story [1970 film],/work/2720256,Love Story,/work/42295
Airport [1970 film],/work/7799938,Airport,/work/69661
Little Big Man [1970 film],/work/126778,Little Big Man,/work/2071405
Beneath the Planet of the Apes [1970 film],/work/897702,Beneath the Planet of the Apes,/work/704980
The Conformist [1970 film],/work/4751228,The Conformist [1970 film],/work/4751228
