SearchTerm,Link1,AdaptationOf,Link2
Le Roi Danse,/work/23930849,,
Happy Times [2000 film],/work/1858061,Happy Times (Developmental Reading Series),/work/2660222
The Prince of Central Park [1977 TV Movie],/work/17044248,,
American Psycho [2000 film],/work/847865,American Psycho,/work/7135
Requiem for a Dream [2000 film],/work/651477,Requiem for a Dream,/work/10479
Battle Royale [2000 film],/work/4939942,Battle Royale,/work/5691177
"O Brother, Where Art Thou?",/work/126806,"O Brother, Where Art Thou?",/work/126806
The Beach [2000 film],/work/5445837,The Beach,/work/5440
The Perfect Storm [2000 film],/work/2815584,The Perfect Storm: A True Story of Men against the Sea,/work/3825
Chocolat [2000 film],/work/10904,Chocolat,/work/5716
High Fidelity [2000 film],/work/248220,High Fidelity,/work/2110
"Crouching Tiger, Hidden Dragon [2000 film]",/work/2505313,"Crouching Tiger, Hidden Dragon [2000 film]",/work/2505313
The Little Vampire [2000 film],/work/16832352,The Little Vampire [2000 film],/work/16832352
102 Dalmatians (2000 Film),/work/23811293,102 Dalmatians [2000 live action film],/work/1246933
The Legend of Bagger Vance [2000 film],/work/1036800,The Legend of Bagger Vance [2000 film],/work/1036800
Battlefield Earth [2000 film],/work/9286089,Battlefield Earth: A Saga of the Year 3000,/work/3246096
Where the Heart Is [2000 film],/work/12069263,Where the Heart Is,/work/3136
Shaft [2000 film],/work/11281,Shaft [1971 film],/work/2000888
Pay It Forward [2000 film],/work/13807163,Pay It Forward [2000 film],/work/13807163
All the Pretty Horses [2000 film],/work/4220314,All the Pretty Horses,/work/1906740
The Crimson Rivers [2000 film],/work/6378853,The Crimson Rivers,/work/6997434
Get Carter [2000 film],/work/12234577,Get Carter,/work/212540
Under Suspicion [2000 film],/work/8218035,Arresto Preventivo [1981 film],/work/12988802
Wonder Boys [2000 film],/work/3952204,Wonder Boys,/work/6108
Bless the Child [2000 film],/work/3362923,Bless the Child [2000 film],/work/3362923
Pollock [2000 film],/work/612495,"Pollock, The life and work of the artist illustrated with 80 colour plates",/work/2377205
Left Behind [2000 film],/work/3361250,Left Behind: A Novel of the Earth's Last Days,/work/909
The Weight of Water [2000 film],/work/17361682,The Weight of Water,/work/4725
