SearchTerm,Link1,AdaptationOf,Link2
My Dog Skip [2000 film],/work/5560630,My Dog Skip,/work/156185
Waking the Dead [2000 film],/work/7928245,Waking the Dead,/work/938714
The Golden Bowl [2000 film],/work/6176605,The Golden Bowl,/work/2245
The Claim [2000 film],/work/16470831,The Claim [2000 film],/work/16470831
The House of Mirth [2000 film],/work/8649339,The House of Mirth,/work/11880
Animal Factory [2000 film],/work/11051841,Animal Factory,/work/245731
Le Roi Danse,/work/23930849,,
Happy Times [2000 film],/work/1858061,Happy Times (Developmental Reading Series),/work/2660222
The Prince of Central Park [1977 TV Movie],/work/17044248,,
Fight Club [1999 film],/work/417116,Fight Club,/work/6156848
Eyes Wide Shut [1999 film],/work/10237107,Eyes Wide Shut [1999 film],/work/10237107
The Green Mile [1999 film],/work/753360,The Green Mile,/work/29698
The General's Daughter [1999 film],/work/4747150,The General's Daughter,/work/81018
The Talented Mr. Ripley [1999 film],/work/676645,The Talented Mr. Ripley,/work/71377
The Haunting [1999 film],/work/1968356,The Haunting of Hill House,/work/5466
The Virgin Suicides [1999 film],/work/1127476,The Virgin Suicides,/work/5503
Cruel Intentions [1999 film],/work/991090,Les Liaisons Dangereuses,/work/32388
The Ninth Gate [1999 film],/work/1550953,The Club Dumas,/work/8478
The Bone Collector [1999 film],/work/1053814,The Bone Collector,/work/4595
The 13th Warrior [1999 film],/work/11338,Eaters of the Dead,/work/6852
Tarzan [1999 film],/work/13381730,Tarzan of the Apes,/work/4912
The Iron Giant [1999 film],/work/2280289,The Iron Man,/work/61256
Stuart Little [1999 live-action/animated film],/work/3402719,Stuart Little,/work/6295
The Cider House Rules [1999 film],/work/4041090,The Cider House Rules,/work/7863
Stir of Echoes [2000 film],/work/1568790,,
October Sky [1999 film],/work/435486,Rocket Boys,/work/38805
Election [1999 film],/work/606801,Election,/work/5755
Payback [1999 film],/work/2815533,The Hunter,/work/221816
The Rage: Carrie 2 [1999 film],/work/9660215,The Rage: Carrie 2 [1999 film],/work/9660215
Bicentennial Man [1999 film],/work/126664,Bicentennial Man,/work/4105360
For Love of the Game [1999 film],/work/2369406,For Love of the Game,/work/4272
Bringing Out the Dead [1999 film],/work/611578,Bringing Out the Dead: A Novel,/work/7438
The Thirteenth Floor [1999 film],/work/2788903,Simulacron-3,/work/253292
Drive Me Crazy (1999 Film),/work/23696702,Drive Me Crazy [1999 film],/work/7960525
The Hurricane [1999 film],/work/2375068,The Hurricane,/work/2602545
Angela's Ashes [1999 film],/work/6546978,Angela's Ashes,/work/5115
Message in a Bottle [1999 film],/work/8810423,Message in a Bottle,/work/4413
Ride With The Devil [1999 film],/work/4149919,Ride With The Devil [1999 film],/work/4149919
Random Hearts [1999 film],/work/13883130,Random Hearts [1999 film],/work/13883130
True Crime [1999 film],/work/15811881,True Crime,/work/453708
Eye of the Beholder [1999 film],/work/14275902,Eye of the Beholder,/work/39695
The End of the Affair [1999 film],/work/2822203,The End of the Affair,/work/7200
In Dreams [1999 film],/work/643604,In Dreams,/work/48710
Anywhere But Here [1999 film],/work/2015358,Anywhere but Here,/work/42338
Instinct [1999 film],/work/609295,The Language Instinct: How the Mind Creates Language,/work/3585
The Deep End of the Ocean [1999 film],/work/3672920,The Deep End of the Ocean,/work/42505
Crazy in Alabama [1999 film],/work/4755784,Crazy in Alabama,/work/36276
Outside Providence,/work/80905,,
Jakob the Liar [1999 film],/work/8187500,Jacob the Liar,/work/301236
The Ring Volume 2 (Ring (Graphic Novels)),/work/762139,,
Snow Falling on Cedars [1999 film],/work/10245842,Snow Falling on Cedars,/work/5903
An Ideal Husband [1999 film],/work/1398597,An Ideal Husband,/work/1617471
Breakfast of Champions,/work/4335846,,
The Love Letter [1999 film],/work/11423,The Love Letter,/work/72485
