SearchTerm,Link1,AdaptationOf,Link2
The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,/work/6248915,,
The Smiles of Sad Men,,,
It [2017 film],/work/20993425,It,/work/1489
Jumanji: Welcome to the Jungle [2017 film],/work/20822191,Jumanji: Welcome to the Jungle [2017 film],/work/20822191
Murder on the Orient Express [2017 film],/work/20623349,Murder on the Orient Express,/work/2742
Molly's Game [2017 film],/work/21695216,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",/work/15114888
Wonder [2017 film],/work/20799541,Wonder,/work/11993910
Fifty Shades Darker [2017 film],/work/19875583,Fifty Shades Darker,/work/11716130
The Foreigner [2017 film],/work/20906546,The Foreigner,/work/26659140
Atomic Blonde [2017 film],/work/20654862,The Coldest City,/work/12201399
American Assassin [2017 film],/work/20760385,American Assassin,/work/9783887
The Snowman [2017 film],/work/20976616,The Snowman,/work/6767489
The Dark Tower [2017 film],/work/20294605,The Dark Tower,/work/5974
"Walden ; and, Civil Disobedience",/work/7792054,,
Kingsman: The Golden Circle [2017 film],/work/20746041,The Circle,/work/14149720
The Mountain Between Us [2017 movie],/work/20801969,,
The Beguiled [2017 film],/work/20409758,The Beguiled [1971 film],/work/14878336
T2 Trainspotting [2017 film],/work/19109177,T2 Trainspotting [2017 film],/work/19109177
"Everything, Everything [2017 film]",/work/20073290,"Everything, Everything",/work/15602340
Before I Fall [2017 film],/work/19531587,Before I Fall,/work/8465376
A Dog's Purpose [2017 film],/work/19502630,A Dog's Purpose,/work/9751253
Diary of a Wimpy Kid: The Long Haul [2017 film],/work/20037511,Diary of a Wimpy Kid: The Long Haul,/work/14925100
The Shack [2017 film],/work/19603282,The Shack,/work/3376637
Tulip Fever [2017 film],/work/20197888,Tulip Fever,/work/123153
Captain Underpants: The First Epic Movie [2017 film],/work/20207602,Captain Underpants: The First Epic Movie [2017 film],/work/20207602
The Bye Bye Man [2017 Film],/work/20320537,The Bye Bye Man [2017 Film],/work/20320537
The Bookshop [2017 film],/work/21906266,The Bookshop,/work/27147
Submergence,/work/11541974,,
Thank You For Your Service [2017 film],/work/20973947,Thank You For Your Service [2017 film],/work/20973947
The Hunter's Prayer [2017 film],/work/19550613,The Hunter's Prayer [2017 film],/work/19550613
A Bag of Marbles,/work/557783,,
Legend Of The Demon Cat [Blu-ray],/work/25048227,,
Nocturnal Animals [2016 film],/work/18855841,Nocturnal Animals [2016 film],/work/18855841
Miss Peregrine's Home for Peculiar Children [2016 film],/work/18587523,Miss Peregrine's Home For Peculiar Children,/work/10951114
The Girl on the Train [2016 film],/work/18400760,The Girl on the Train,/work/15083269
Me Before You [2016 film],/work/18335169,Me Before You,/work/11686136
Fantastic Beasts and Where to Find Them [2016 film],/work/19340638,Fantastic Beasts and Where to Find Them,/work/642676
Warcraft [2016 film],/work/18533167,Warcraft [2016 film],/work/18533167
Live By Night [2016 film],/work/19310480,Live by Night,/work/12326900
Inferno [2016 film],/work/17865308,Inferno,/work/13407344
The Legend of Tarzan [2016 film],/work/18158403,The Legend of Tarzan [2016 film],/work/18158403
Silence,/work/1031302,,
Pride And Prejudice And Zombies [2016 film],/work/17902220,Pride and Prejudice and Zombies,/work/7653406
The Jungle Book [2016 film],/work/18187610,The Jungle Books,/work/2774556
Nerve [2016 film],/work/17865313,Nerve,/work/42881
How to be Single [2016 film],/work/19339608,How to be Single [2016 film],/work/19339608
Jack Reacher: Never Go Back [2016 film],/work/18698908,Never Go Back,/work/13480915
Alice Through the Looking Glass [2016 film],/work/18514410,Alice's Adventures in Wonderland / Through the Looking-Glass,/work/777000
The 5th Wave [2016 film],/work/17748008,The 5th Wave,/work/13135918
Allegiant [2016 film],/work/18133746,Allegiant,/work/11584289
The Light Between Oceans [2016 film],/work/18922217,The Light Between Oceans,/work/12179054
A Hologram For The King [2016 film],/work/18228488,A Hologram for the King,/work/12670700
Ben-Hur [2016 film],/work/18796533,Ben-Hur: A Tale of the Christ,/work/3152
Blood Father [2016 film],/work/18292352,Blood Father [2016 film],/work/18292352
Billy Lynn's Long Halftime Walk [2016 film],/work/19041172,Billy Lynn's Long Halftime Walk,/work/12072317
The Young Messiah,/work/18534727,,
Fitoor,/work/26401247,,
Kontributsiya,,,
Fifty Shades of Grey [2015 film],/work/16668532,Fifty Shades of Grey,/work/11347028
Goosebumps [2015 film],/work/17151492,Attack of the Mutant,/work/544652
The Revenant [2015 Film],/work/17001047,The Revenant,/work/825275
The Martian [2015 film],/work/16585696,The Martian,/work/13265773
War Room [2015 film],/work/16983424,Room,/work/9837747
The Hunger Games: Mockingjay: Part 2 [2015 film],/work/16809065,Mockingjay,/work/9279041
Victor Frankenstein [2015 film],/work/17501366,This Dark Endeavor: The Apprenticeship of Victor Frankenstein,/work/10930691
The Danish Girl [2015 film],/work/17000961,The Danish Girl,/work/73690
Carol [2015 film],/work/16974198,The Price of Salt,/work/112217
Maze Runner: The Scorch Trials [2015 film],/work/16911047,The Scorch Trials,/work/9448063
Brooklyn [2015 film],/work/16718871,Brooklyn,/work/7636753
