Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt0071294/,"Celestine, Maid at Your Service",(1974), ,93 min,Comedy,"The police raid a brothel and a prostitute (Lina Romay) escapes into the countryside. The woman, Celestine, ends up at a rich folks house where she ends up sleeping with two of the servants who then get her a job as a maid."
/title/tt0071199/,The Bears and I,(1974),G,89 min,"Drama, Family",A man seeking peace and quiet finds himself father to three bears.
/title/tt0071459/,One or the Other,(1974), ,105 min,"Action, Romance, Thriller",What started as a simple blackmail quickly devolves into a downward spiral of psychological and physical violence.
/title/tt0071688/,Jacob the Liar,(1974), ,100 min,"Comedy, Crime, Drama",
/title/tt0071890/,Nada,(1974), ,110 min,Thriller,
/title/tt0071194/,The Bank Shot,(1974),PG,83 min,"Comedy, Crime",A motley crew of criminals plans to rob a Los Angeles bank that's temporarily located in a mobile home during renovations.
/title/tt0072092/,Robinsonka,(1974), ,77 min,Family,
/title/tt0072364/,The Voyage,(1974),PG,102 min,"Drama, Romance","The charming Adriana gets sick after her husband's death. Her brother-in-law takes her on a journey to meet a doctor, while love overwhelms them."
/title/tt0072303/,Deadly Jaws,(1974), ,95 min,"Adventure, Drama",
/title/tt0071224/,Black Eye,(1974),PG,98 min,"Action, Crime","Private detective investigated a series of murders connected with a drug ring in Venice, California."
/title/tt0072131/,The Secret,(1974),Not Rated,102 min,"Drama, Mystery, Thriller",
/title/tt0070417/,The Killer Wore Gloves,(1974),R,90 min,"Mystery, Thriller",A murder of a man in an airport restroom leads to a series of mysterious killings in London.
/title/tt0069874/,Les Chinois à Paris,(1974), ,109 min,"Comedy, Fantasy","Overnight, Paris is invaded - although peacefully - but the Chinese Army, and millions of Chinese people... It's the Nazi occupation all over again, with modern - funny - twists."
/title/tt0070588/,Creezy,(1974), ,90 min,Drama,
/title/tt0072315/,The Truce,(1974),Not Rated,108 min,"Drama, Romance","A man has to come to terms with his wasted youth, estranged family and grim prospects for the future."
/title/tt0071394/,Dead Cert,(1974),Not Rated,99 min,"Thriller, Drama",
/title/tt0272226/,Oliver Twist,(1974), ,91 min,"Animation, Family","An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master."
/title/tt0071667/,L'invenzione di Morel,(1974), ,110 min,Sci-Fi,"A castaway arrives on an island. He thinks it's uninhabited, but he sees a palace with also a hidden room. Soon he sees some people walking, dressed with old-fashioned clothes. He is afraid because people don't see him, like a ghost."
/title/tt0074504/,The Treasure of Jamaica Reef,(1974),PG,96 min,Adventure,A suspense filled adventure-drama about the search for a treasure-laden Spanish Galleon that sank over 200 years ago.
/title/tt0072249/,The Take,(1974),PG,92 min,"Action, Crime, Drama",Crime fighter Terry Sneed arrives in New Mexico to help out a local police chief - but he's already taking money from the underworld.
/title/tt0454427/,Les Charlots en folie: À nous quatre Cardinal!,(1974), ,105 min,"Adventure, Comedy","The Queen of France finds herself in a state of embarrassment, when the king asked her to wear the special necklace for the forthcoming appearance in public."
/title/tt0188736/,Kampanerang kuba,(1974), , ,"Drama, Fantasy, Romance",
/title/tt0071799/,Bloody Murder,(1974),PG,93 min,"Crime, Drama",
/title/tt0072052/,Les quatre Charlots mousquetaires,(1974), ,110 min,"Adventure, Comedy",D'Artagnan and his musketeer comrades must thwart the plans of Cardinal Richelieu to usurp King Louis XIII's power.
/title/tt0391249/,Izu no odoriko,(1974), ,82 min,Drama,"""The Izu dancer"" describes Young solo to Izu peninsula, and close to an entertainer troupe, in particular with the dancer named Kaoru,but to that brief love is just a featuring lyrical and pale memories by their sad waves farewell."
/title/tt0071474/,Esupai,(1974), ,87 min,"Action, Adventure, Mystery",A bad ESP syndicate is planning to kill world leaders through mental telepathy. The good guys are a top secret group called ESPY and they're in charge of stopping the killer psychics.
/title/tt0071594/,Hangup,(1974),R,94 min,"Action, Drama",A rookie cop on the undercover narcotic squad falls for the junkie who can help him nab a ruthless pusher/killer.
/title/tt0070618/,Der Räuber Hotzenplotz,(1974), ,114 min,"Family, Comedy",
/title/tt0232977/,Zehreela Insaan,(1974), ,131 min,"Drama, Romance",
/title/tt0072169/,Det sista äventyret,(1974), ,115 min,Drama,
/title/tt0153509/,Devil's Bride,(1974), ,78 min,"Music, Musical",
/title/tt0323705/,El primer amor,(1974), ,87 min,"Drama, Romance",
/title/tt0135496/,The Fossil,(1974), ,200 min,Drama,A detailed look at a Tokyo business tycoon (played by Shin Saburi) given a diagnosis of terminal cancer who must now re-assess his life and values.
/title/tt0071976/,Rebellion in Patagonia,(1974),Not Rated,110 min,"Drama, History, Western","In 1920, some workers of Patagonia, grouped in anarchist and socialist societies, decide to make a strike demanding better working conditions. The situation becomes unsustainable and the government sends the order is restored."
/title/tt6649276/,Heidi in the Mountains,(1974), ,93 min,"Animation, Adventure, Comedy",
/title/tt0144111/,"Blokada: Luzhskiy rubezh, Pulkovskiy meredian",(1974), ,185 min,"Action, Drama, History",
/title/tt0070891/,Vous intéressez-vous à la chose?,(1974), ,80 min,Comedy,
