link,published,author,series,rating,charnum,awardnum
/work/4319128,,"by Chris Miller (Director), Raman Hui (Co-director), Chris Miller (Screenwriter), Jeffrey Price (Screenwriter), Peter S. Seaman (Screenwriter) — 1 more, Aron Warner (Screenwriter)",1,(3.46),19,1
/work/4131,,by Katherine Paterson,0,(4.02),5,21
/work/20684666,(2018),by Peadar Ó Guilín,1,(3.7),1,1
/work/31895,(1990),by Robert Ludlum,1,(3.59),6,2
/work/168286,(1983),by Ron Hansen,0,(3.76),3,1
/work/1806474,(2006),by Michael Crichton,0,(3.24),9,2
/work/21866,(2003),by George Crile,0,(4.05),9,4
/work/1629853,(2006),by Thomas Harris,1,(3.16),5,2
/work/247027,,by Shar Rednour,1,(3.67),1,1
/work/129706,(1990),by William Joyce,0,(3.84),9,1
/work/287212,(2002),by Valerio Massimo Manfredi,0,(3.4),1,1
/work/5276341,(2003),by Khaled Hosseini,0,(4.2),9,23
/work/16729308,,by James Wan (Director),0,(4),1,1
/work/21637,,"by Emma McLaughlin, Nicola Kraus (Author)",1,(3.21),4,1
/work/5864554,,by Jay Russell,0,(3),1,1
/work/16181,(1997),by Annette Curtis Klause,0,(3.72),23,12
/work/4290062,(1973),by Susan Cooper,1,(4.12),17,13
/work/71547,,by John Burnham Schwartz,1,(3.4),1,1
/work/10105,(1985),by Gabriel García Márquez,0,(3.96),12,21
/work/21214,(1897),by H. G. Wells,0,(3.53),18,6
/work/11008973,,by Catherine Breillat,0,(2.5),1,1
/work/12848902,,by Vadim Perelman (Director),0,(2),1,1
/work/28615,(1997),by Don Winslow,0,(3.75),2,2
/work/1205640,(2006),by Blake Nelson,0,(3.68),6,1
/work/4366373,(1976),by Mircea Eliade,0,(3.4),1,1
/work/18143,(1996),by Alessandro Baricco,0,(3.81),5,3
/work/17239217,,by Joe Clifford,1,(4.1),1,1
/work/81719,,by David Gerrold,0,(3.79),2,1
/work/42558,(1990),by Elinor Lipman,0,(3.53),3,1
/work/17911,(1996),by Anne Michaels,0,(3.77),7,14
/work/8191026,,"by Ira Sachs (Director), Oren Moverman (Screenwriter)",0,(0.5),1,1
/work/1183683,(1998),by Maureen Medved,0,(4),4,1
/work/150649,,by Francine Rivers,0,(4.03),4,1
/work/23107,(1926),by Ernest Hemingway,0,(3.77),11,19
/work/10418450,,by Lynn Roth [director],0,(4.5),1,1
/work/3915047,(2005),by Ron Leshem,0,(4.16),24,3
/work/7815312,,by Seiichi Morimura,1,,1,1
/work/214496,,by Brad Smith,0,(4.67),1,1
/work/335871,,by Matt Cohen,0,(3.5),1,1
/work/10278493,,by Sinistrari d'Ameno,0,,1,1
/work/1522819,,by mcskimminggeoffrey,1,(3.83),1,1
/work/2612458,(1953),by Ian Fleming,1,(3.53),25,6
/work/18416,(1995),by Christopher Priest,0,(3.81),5,7
/work/14944,(1992),by P.D. James,0,(3.57),2,8
/work/3123767,(2003),by Dan Brown,1,(3.53),9,22
/work/5661,(2004),by Peter Mayle,0,(3.53),9,1
/work/10284,(2003),by Lauren Weisberger,1,(3.33),20,4
/work/36980,(1985),by Patrick Süskind,0,(3.95),11,21
/work/26899,(2004),by Tom Perrotta,0,(3.64),19,4
/work/404772,(1932),by Stefan Zweig,0,(3.99),9,3
/work/24623,(1987),by James Ellroy,1,(3.62),13,3
/work/15674383,,by Alastair Reynolds,1,(3.63),9,1
/work/6518,(2002),by Christopher Paolini,1,(3.69),23,33
/work/45518,(2001),by Alice Hoffman,1,(3.3),6,1
/work/1590,(1952),by E. B. White,0,(4.21),10,31
/work/16566,(1977),by Philip K. Dick,0,(3.97),21,6
/work/39176,(2003),"by Tsugumi Ohba, Takeshi Obata (Illustrator)",1,(4.18),7,6
/work/94034,(2003),by Zoë Heller,0,(3.63),6,3
/work/51070,(1925),by W. Somerset Maugham,0,(3.94),7,3
/work/29580,,by Istvan Banyai,0,(4.35),1,4
/work/3291119,,by Luc Besson,0,(3),1,1
/work/35392,(1946),by Robert Penn Warren,0,(4.12),5,21
/work/223464,,by Gerald Petievich,0,(2.25),1,1
/work/3015,(2003),by Jhumpa Lahiri,0,(3.91),12,7
/work/121676,(1980),by Dan Millman,1,(3.8),3,1
/work/123835,(2002),by Carl Hiaasen,0,(3.79),15,27
/work/14443744,,by Robert Hamer,0,(4),1,1
/work/76686,(1998),by Richard Price,1,(3.54),3,1
/work/13911,(2000),by Armistead Maupin,0,(3.53),5,1
/work/19746,(2001),by Joseph Kanon,0,(3.6),1,1
/work/33824,(1941),by Mary O'Hara,1,(3.83),1,1
/work/136576,(2003),"by Tommy Tenney, Mark Olsen",1,(3.84),1,1
/work/9576421,,"by Timur Bekmambetov, Sergey Lukyanenko (Writer)",1,(3.92),1,1
/work/31521,(1973),by Thomas Rockwell,1,(3.61),6,11
/work/3320466,(1993),by James Redfield,1,(3.17),26,2
/work/10577462,,by Q. Allan Brocka,0,,1,1
/work/124419,,by Ted Dekker,0,(3.85),1,4
/work/124428,(1983),by Janette Oke,1,(4.06),4,1
/work/1778473,,by Lourenço Mutarelli,0,(4.1),1,1
/work/4549993,,by Frank S. Smythe,0,(2.5),1,1
