link,published,author,series,rating,charnum,awardnum
/work/18292352,,by Jean-François Richet (Director),0,(2),1,1
/work/12072317,(2012),by Ben Fountain,0,(3.9),1,15
/work/18534727,,by Cyrus Nowrasteh,0,(4),1,1
/work/26401247,,by Aditya Roy Kapoor,0,,1,1
/work/11347028,,by E. L. James,1,(2.94),14,4
/work/544652,,by R. L. Stine,1,(3.44),1,1
/work/825275,(2002),by Michael Punke,0,(3.77),20,1
/work/13265773,,by Andy Weir,1,(4.28),20,15
/work/9837747,(2010),by Emma Donoghue,0,(4.03),11,33
/work/9279041,,by Suzanne Collins,1,(3.91),38,8
/work/10930691,,by Kenneth Oppel,1,(3.83),6,12
/work/73690,(2000),by David Ebershoff,0,(3.69),3,6
/work/112217,(1952),by Patricia Highsmith,0,(3.83),9,2
/work/9448063,,by James Dashner,1,(3.71),8,4
/work/7636753,,by Colm Tóibín,0,(3.7),29,10
/work/17631774,,"by Jocelyn Moorhouse, P.J. Hogan (Screenwriter)",0,(4.14),1,1
/work/11657372,(2013),by Veronica Roth,1,(3.82),12,3
/work/5056952,(2008),by Marilynne Robinson,1,(3.99),9,13
/work/4104266,(2008),by Tom Rob Smith,1,(3.96),16,21
/work/23959,(2005),by Uzodinma Iweala,0,(3.62),22,10
/work/6252,(1911),by J. M. Barrie,1,(3.96),33,9
/work/17282402,,"by David Koepp, Eric Aronson (Writer)",0,(2),1,1
/work/9016933,,by Tiki Barber,0,(4.25),1,1
/work/12028167,,by Jesse Andrews,0,(3.55),18,11
/work/5105584,,by John Green,0,(3.89),21,22
/work/6752089,,by Gillian Flynn,0,(3.83),12,3
/work/141132,,by Phoebe Gloeckner,0,(4.01),1,1
/work/112326,(1975),by Robert C. O'Brien,0,(3.73),4,6
/work/501101,(1982),by Jean-Patrick Manchette,0,(3.72),1,1
/work/16794994,,by Nicholas Hytner (Director),0,(3.2),1,1
/work/211038,(2014),by Mitch Cullin,0,(3.52),1,1
/work/297872,(1996),"by Don Piper, Cecil Murphey",0,(3.5),6,1
/work/4196042,(2008),by Castle Freeman,0,(3.63),20,2
/work/6314,(1978),by Katherine Paterson,0,(3.86),9,22
/work/4303884,(2004),by Jiang Rong,0,(3.78),1,3
/work/11234211,,by Gillian Flynn,0,(3.86),21,23
/work/8206950,(2009),by James Dashner,1,(3.78),8,26
/work/8419505,(2004),by Hiroshi Sakurazaka,0,(3.81),2,1
/work/10261765,(2011),by Veronica Roth,1,(4.01),30,40
/work/3206242,(1937),by J. R. R. Tolkien,1,(4.27),39,30
/work/9279041,,by Suzanne Collins,1,(3.91),38,8
/work/5659,,by Frank Miller,1,(3.89),2,3
/work/10151285,(2010),by Laura Hillenbrand,0,(4.44),14,17
/work/2936695,,by Richelle Mead,1,(4.01),7,5
/work/11456497,(2012),by John Green,0,(4.25),9,63
/work/6663533,,by Thomas Pynchon,0,(3.6),5,5
/work/16733444,(2014),by Paul King (Director),1,(3.6),1,1
