title,description,contributor,author,contributor_note,price,age_group,publisher,isbns,ranks_history,reviews
Fatal Justice: Reinvestigating the MacDonald Murders,,,Fred Bost,,0.00,,,"[{'isbn10': '0393315444', 'isbn13': '9780393315448'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1995/03/19/books/jeffrey-macdonald-s-new-jury.html', 'article_chapter_link': None}]"
FATAL MISTAKE,"Lt. Sam Holland of the D.C. Metro Police searches for the murder of a baseball player whose error kept the team out of the World Series, while her husband, Senator Nick Cappuano, fights for re-election. Book Six of the Fatal series.",by Marie Force,Marie Force,,0.00,,Carina Press,[],"[{'primary_isbn10': 'None', 'primary_isbn13': '9781426895647', 'rank': 20, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2013-07-07', 'bestsellers_date': '2013-06-22', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"Fatal North: Adventure and Survival Aboard USS Polaris, the First U. S. Expedition to the North Pole",,,Bruce Henderson,,0.00,,,"[{'isbn10': '0451204131', 'isbn13': '9780451204134'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/02/25/books/in-cold-blood.html', 'article_chapter_link': None}]"
"Fatal Passage: The Story of John Rae, the Arctic Hero Time Forgot",,,Ken McGoogan,,0.00,,,"[{'isbn10': '0786711566', 'isbn13': '9780786711567'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2002/04/07/books/civilization-doesn-t-always-know-best.html', 'article_chapter_link': None}]"
FATAL RECKONING,The 14th book in the Fatal series. Washington Metro Police lieutenant Sam Holland gets a tip about her father's murder.,by Marie Force,Marie Force,,0.00,,HQN,"[{'isbn10': '1488034206', 'isbn13': '9781488034206'}, {'isbn10': '1335017658', 'isbn13': '9781335017659'}]","[{'primary_isbn10': '1488034206', 'primary_isbn13': '9781488034206', 'rank': 15, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2019-04-14', 'bestsellers_date': '2019-03-30', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
FATAL SCANDAL,"In Book 8 of the Fatal series, Lt. Sam Holland of the Metropolitan Police defends two colleagues from allegations of scandal.",by Marie Force,Marie Force,,0.00,,Harlequin,"[{'isbn10': '1426898762', 'isbn13': '9781426898761'}]","[{'primary_isbn10': '1426898762', 'primary_isbn13': '9781426898761', 'rank': 7, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2015-02-01', 'bestsellers_date': '2015-01-17', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1426898762', 'primary_isbn13': '9781426898761', 'rank': 9, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2015-02-01', 'bestsellers_date': '2015-01-17', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
FATAL SECRETS,"In this romantic suspense novel, an immigration enforcer and an F.B.I. agent join to confront a human-trafficking mastermind.",by Allison Brennan,Allison Brennan,,7.99,,Ballantine,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Fatal Subtraction: The Inside Story of Buchwald V. Paramount,,,Dennis McDougal,,0.00,,,"[{'isbn10': '0787104949', 'isbn13': '9780787104948'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1992/08/16/books/imitating-art.html', 'article_chapter_link': None}]"
JACK AND THE GENIUSES: AT THE BOTTOM OF THE WORLD,A missing scientist in Antarctica.,by Bill Nye and Gregory Mone. Illustrated by Nick Iluzada,Bill Nye and Gregory Mone,Illustrated by Nick Iluzada,0.00,,Amulet,"[{'isbn10': '1419723030', 'isbn13': '9781419723032'}]","[{'primary_isbn10': '1419723030', 'primary_isbn13': '9781419723032', 'rank': 9, 'list_name': 'Childrens Middle Grade Hardcover', 'display_name': 'Children’s Middle Grade Hardcover', 'published_date': '2017-05-14', 'bestsellers_date': '2017-04-29', 'weeks_on_list': 4, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1419723030', 'primary_isbn13': '9781419723032', 'rank': 8, 'list_name': 'Childrens Middle Grade Hardcover', 'display_name': 'Children’s Middle Grade Hardcover', 'published_date': '2017-05-07', 'bestsellers_date': '2017-04-22', 'weeks_on_list': 3, 'rank_last_week': 7, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1419723030', 'primary_isbn13': '9781419723032', 'rank': 7, 'list_name': 'Childrens Middle Grade Hardcover', 'display_name': 'Children’s Middle Grade Hardcover', 'published_date': '2017-04-30', 'bestsellers_date': '2017-04-15', 'weeks_on_list': 2, 'rank_last_week': 6, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1419723030', 'primary_isbn13': '9781419723032', 'rank': 6, 'list_name': 'Childrens Middle Grade Hardcover', 'display_name': 'Children’s Middle Grade Hardcover', 'published_date': '2017-04-23', 'bestsellers_date': '2017-04-08', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Jack and the Seven Deadly Giants,,,Sam Swope,,0.00,,,"[{'isbn10': '0374336709', 'isbn13': '9780374336707'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2004/05/16/books/children-s-books-oh-no-she-flipped-her-wig.html', 'article_chapter_link': None}]"
Jack Fish,,,J Milligan,,0.00,,,"[{'isbn10': '1569474168', 'isbn13': '9781569474167'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2005/01/23/books/review/23ALFO01.html', 'article_chapter_link': None}]"
"JACK FROST, VOL. 6","Amityville High has a student body comprised of supernatural creatures, including Jack Frost.",by JinHo Ko,JinHo Ko,,11.99,,Yen Press,"[{'isbn10': '0316207845', 'isbn13': '9780316207843'}]","[{'primary_isbn10': '0316207845', 'primary_isbn13': '9780316207843', 'rank': 10, 'list_name': 'Manga', 'display_name': 'Manga', 'published_date': '2012-10-14', 'bestsellers_date': '2012-09-29', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Jack Frusciante Has Left the Band: A Love Story- with Rock 'n' Roll,,,Enrico Brizzi,,0.00,,,"[{'isbn10': '0802135218', 'isbn13': '9780802135216'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1998/01/11/books/books-in-brief-fiction-892327.html', 'article_chapter_link': None}]"
Jack Gance,,,Ward Just,,0.00,,,"[{'isbn10': '0395856027', 'isbn13': '9780395856024'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1989/01/01/books/no-one-stays-clean-in-washington.html', 'article_chapter_link': None}]"
Jack Holmes and His Friend: A Novel,,,Edmund White,,0.00,,,"[{'isbn10': '1608197255', 'isbn13': '9781608197255'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2012/01/29/books/review/jack-holmes-and-his-friend-by-edmund-white-book-review.html', 'article_chapter_link': None}]"
JACK KENNEDY,An admiring portrait.,by Chris Matthews,Chris Matthews,,0.00,,Simon & Schuster,"[{'isbn10': '1451635087', 'isbn13': '9781451635089'}, {'isbn10': '1451635109', 'isbn13': '9781451635102'}, {'isbn10': '1442350458', 'isbn13': '9781442350458'}, {'isbn10': '1451635095', 'isbn13': '9781451635096'}, {'isbn10': '1594135657', 'isbn13': '9781594135651'}]","[{'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 30, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2013-02-24', 'bestsellers_date': '2013-02-09', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 30, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2013-02-17', 'bestsellers_date': '2013-02-02', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 20, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2013-01-13', 'bestsellers_date': '2012-12-29', 'weeks_on_list': 7, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 20, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2013-01-06', 'bestsellers_date': '2012-12-22', 'weeks_on_list': 6, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 14, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-12-30', 'bestsellers_date': '2012-12-15', 'weeks_on_list': 5, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 12, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-12-23', 'bestsellers_date': '2012-12-08', 'weeks_on_list': 4, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 7, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-12-16', 'bestsellers_date': '2012-12-01', 'weeks_on_list': 3, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 6, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-12-09', 'bestsellers_date': '2012-11-24', 'weeks_on_list': 2, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 20, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-12-02', 'bestsellers_date': '2012-11-17', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}, {'primary_isbn10': '1451635095', 'primary_isbn13': '9781451635096', 'rank': 26, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2012-11-25', 'bestsellers_date': '2012-11-10', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1451635087', 'primary_isbn13': '9781451635089', 'rank': 33, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2012-03-04', 'bestsellers_date': '2012-02-18', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2011/11/06/books/review/jack-kennedy-elusive-hero-by-chris-matthews-book-review.html', 'article_chapter_link': ''}]"
