Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt0164470/,Caligula,(1996),R,51 min,Drama,"The young emperor's decision to force the senators of Rome to live under a regime as cruel, moronic, meaningless and random as he believes life itself to be. His decision is prompted by the death of his sister, with whom he was in love.",,,,,,,,,
/title/tt0117688/,Solo,(1996),PG-13,94 min,"Action, Sci-Fi, Thriller",,,,,,,,,,
/title/tt0117582/,The Secret Agent,(1996),R,95 min,"Drama, Thriller",,,,,,,,,,
/title/tt0115837/,Carried Away,(1996),R,109 min,"Drama, Romance",,,,,,,,,,
/title/tt0118163/,The Whole Wide World,(1996),PG,111 min,"Biography, Drama, Romance","In 1933 Texas, a schoolteacher and aspiring writer meets a pulp fiction writer, and a relationship soon develops between the two, but it is doomed by his slavishly devotion to his ailing mother and insistence on his freedom.",,,,,,,,,
/title/tt0115580/,The Associate,(1996),PG-13,114 min,Comedy,A comedy about making it on Wall Street. Prejudices are hard to break and Laurel Ayres quickly learns that in order for people to take her seriously she has to work for an older white man or be one.,,,,,,,,,
/title/tt0116833/,The Last of the High Kings,(1996),R,103 min,"Comedy, Drama","After finishing exams June 1977 near Dublin, Frankie spends the summer with his two friends, siblings and mom while dreaming of two cute girls and waiting for exam results. College?",,,,,,,,,
/title/tt0118020/,A Self-Made Hero,(1996),Not Rated,107 min,"Drama, Comedy",,,,,,,,,,
/title/tt0118043/,The Ogre,(1996),R,118 min,Drama,,,,,,,,,,
/title/tt0114622/,North Star,(1996),R,88 min,"Action, Adventure, Crime",,,,,,,,,,
/title/tt0117226/,An Occasional Hell,(1996),R,93 min,"Drama, Mystery, Thriller","A former policeman-turned college professor of forensics, is asked by a widow to solve the murder of her unfaithful husband and the disappearance of his mistress who may have been linked to some drug dealers.",,,,,,,,,
/title/tt0116488/,Hard Core Logo,(1996),R,92 min,"Comedy, Drama, Music","A group of washed-up Canadian punk rockers get back together for a road trip in memory of a dear friend who was supposedly shot, or so rumors imply. As they travel, they ignore the underlying psychological darkness within each other.",,,,,,,,,
/title/tt0110125/,The Cold Light of Day,(1996), ,101 min,"Drama, Thriller",A troubled detective befriends a single woman and her daughter with the intention of using them as bait for a serial killer.,,,,,,,,,
/title/tt0116741/,Kalle Blomkvist - Mästerdetektiven lever farligt,(1996), ,81 min,"Family, Adventure, Mystery",,,,,,,,,,
/title/tt0115649/,Le bel été 1914,(1996), ,117 min,Drama,,,,,,,,,,
/title/tt0115822/,Captain Conan,(1996), ,129 min,"Drama, War",The war exploits of French captain Conan and his men during World War I and during the Allied intervention in the Russian Civil War.,,,,,,,,,
/title/tt0115850/,La Celestina,(1996), ,92 min,Drama,,,,,,,,,,
/title/tt0113658/,Lilian's Story,(1996),Not Rated,94 min,Drama,,,,,,,,,,
/title/tt0117817/,The Other Side of Sunday,(1996),PG-13,103 min,"Comedy, Drama","The Other Side of Sunday criticizes the small, and often tight church community. We follow the Preachers Daughter; Maria, in her journey to liberate herself from the stiff church community and her strict religious father.",,,,,,,,,
/title/tt0116696/,Jerusalem,(1996),PG-13,168 min,Drama,,,,,,,,,,
/title/tt0117910/,Tieta of Agreste,(1996), ,140 min,"Comedy, Drama, Romance",,,,,,,,,,
/title/tt0116725/,Juloratoriet,(1996), ,124 min,Drama,,,,,,,,,,
/title/tt0116116/,Djöflaeyjan,(1996), ,99 min,"Comedy, Drama","The story of families living in barracks, left by the US Army in Reykjavik at the conclusion of World War II.",,,,,,,,,
/title/tt0117220/,The Disappearance of Finbar,(1996), ,105 min,"Drama, Mystery","Finbar is an Irish youth who, late one night, leapt from a freeway overpass and was never heard from again. When he suddenly reappears three years later, his family and friend Danny attempt to rebuilt their shattered lives.",,,,,,,,,
/title/tt0117185/,The Nymph,(1996), ,110 min,"Drama, Romance",,,,,,,,,,
/title/tt0114846/,Victory,(1996),R,99 min,"Adventure, Drama, Romance",,,,,,,,,,
/title/tt0112652/,Celluloide,(1996), ,110 min,"Drama, History","The difficult making of Roberto Rossellini's masterpiece 'Roma, città aperta (1946)' in a Rome still suffering from the wounds of just ended WWII.",,,,,,,,,
/title/tt0122494/,How the Toys Saved Christmas,(1996),Not Rated,78 min,"Animation, Adventure, Family",A group of toys take matters into their own hands when their Christmas delivery is in jeopardy.,,,,,,,,,
/title/tt0117985/,Tu nombre envenena mis sueños,(1996), ,118 min,"Drama, Romance, Thriller",The investigation of an apparent suicide in post-war Spain leads Inspector Barciela to discover a story of revenge for the hatred and grudges of the past.,,,,,,,,,
/title/tt0116942/,La lupa,(1996), ,95 min,Drama,"She was tall, dark and thin, with a proud and voluptuous bust. They called her ""The she-wolf"" because she seemed never to be satisfied. All the men were obsessed with her but one day the she-wolf fell madly in love with young Nanni.",,,,,,,,,
/title/tt0116967/,Malena es un nombre de tango,(1996), ,109 min,Drama,"Malena's life from adolescence to adulthood, unraveling the history of her family and her own while she is strongly influenced by her older sister.",,,,,,,,,
/title/tt0115909/,Saint Clara,(1996), ,85 min,"Drama, Fantasy, Romance",,,,,,,,,,
