Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt15204288/,Confessions of an Invisible Girl,(2021),TV-PG,91 min,"Comedy, Drama","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
/title/tt13304948/,Bram Stoker's Van Helsing,(2021), ,85 min,Horror,"When his fiancée Lucy falls victim to a mysterious illness, Arthur Holmwood turns to a former rival in her affections - Dr John Seward - for help. Seward calls in his mentor, Professor Van Helsing, who quickly uncovers a terrifying truth."
/title/tt12847812/,Everything Went Fine,(2021), ,113 min,Drama,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
/title/tt11540284/,8-Bit Christmas,(2021),PG, ,"Comedy, Family, Fantasy","In 1980s Chicago, a ten-year-old sets out on a quest to get the Christmas gift of his generation - the latest and greatest video game system."
/title/tt11777920/,Dogtanian and the Three Muskehounds,(2021), ,84 min,Animation,"Dogtanian is a young swordsman who dreams of joining the legendary Muskehounds. After proving his skills and earning their trust, he and the Muskehounds must defend the King from the evil Cardinal Richelieu's secret plot to seize power."
/title/tt3301314/,Dr. Bird's Advice for Sad Poets,(2021),R,109 min,"Comedy, Drama, Mystery","In the emotionally charged, wild and humorous world of sixteen year old James Whitman, we see his struggle to overcome anxiety and depression by seeking advice from Dr. Bird - an imaginary pigeon therapist - in the wake of his sister's disappearance."
/title/tt11681056/,Natural Light,(2021), ,103 min,Drama,
/title/tt14599938/,Sweet & Sour,(2021),TV-14,101 min,"Comedy, Romance","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive."
/title/tt5738280/,Dutch,(2021),R,109 min,Action,"For Dutch, survival is the ultimate score, and power is the deadliest high of all. When he gains control of an African drug lord's stolen heroin business, Dutch quickly makes it the most feared drug empire on the East Coast."
/title/tt10644372/,Lone Wolf,(I) (2021), ,103 min,"Drama, Sci-Fi, Thriller",
/title/tt11636880/,Omerta 12/6,(2021), ,114 min,"Action, Thriller",
/title/tt3804810/,Even Mice Belong in Heaven,(2021), ,80 min,"Animation, Adventure, Comedy",
